title,popularity,release_date,vote_average,vote_count
David Brent: Life on the Road,7.961,2016-08-19,6.11,359
The Remaining,57.474,2014-08-25,6.1,438
Mais qui a tué Pamela Rose ?,13.201,2003-06-04,6.11,318
Death Race 2000,14.566,1975-04-30,6.1,480
A Life Less Ordinary,7.05,1997-10-24,6.11,444
Kindergarten Cop,14.335,1990-12-21,6.1,2475
ARQ,11.659,2016-09-16,6.109,1161
Man of Tai Chi,15.538,2013-07-04,6.108,904
Like Mike,26.375,2002-07-03,6.1,513
Out for Justice,22.445,1991-04-12,6.1,433
Nine 1/2 Weeks,29.88,1986-02-09,6.1,996
Zapped,26.915,2014-06-27,6.1,609
"Crouching Tiger, Hidden Dragon: Sword of Destiny",19.87,2016-02-18,6.108,637
Monster Trucks,17.328,2016-12-21,6.108,849
The Zero Theorem,15.069,2013-09-20,6.1,1194
Ain't Them Bodies Saints,11.092,2013-07-03,6.1,425
Crimson Rivers II: Angels of the Apocalypse,13.587,2004-02-18,6.108,706
Chloe,32.182,2010-02-25,6.108,1700
The Perfect Man,10.767,2005-06-17,6.1,775
The Informant!,7.268,2009-09-18,6.108,870
Cradle 2 the Grave,27.864,2003-02-28,6.1,906
Blood Ties,27.342,2013-08-22,6.107,464
Autumn in New York,22.714,2000-08-11,6.1,706
Blades of Glory,16.511,2007-03-30,6.107,1744
Maid in Manhattan,34.516,2002-12-13,6.107,1886
Grabbers,9.233,2012-08-10,6.1,445
Wolf,15.299,1994-06-17,6.1,902
The Saint,23.868,1997-04-03,6.1,1109
Tower Heist,18.166,2011-11-02,6.105,2924
Cinderella II: Dreams Come True,47.87,2002-02-23,6.1,1442
BASEketball,11.088,1998-07-28,6.105,575
Down with Love,20.257,2003-05-08,6.105,707
Asterix and the Vikings,12.331,2006-04-12,6.1,697
Let It Snow,23.496,2019-11-08,6.106,1151
V/H/S,11.147,2012-07-28,6.1,1531
Fantozzi Retires,7.852,1988-12-22,6.1,376
The Condemned,23.71,2007-04-27,6.104,780
Heartbreakers,17.293,2001-03-23,6.1,891
Final Destination 3,39.289,2006-02-09,6.1,3855
Gothika,18.032,2003-11-21,6.103,2277
In a Valley of Violence,20.884,2016-10-21,6.1,576
Allegiant,34.061,2016-03-09,6.102,6593
Snitch,14.075,2013-02-21,6.102,2332
Original Sin,47.53,2001-05-08,6.102,810
Infinity Pool,19.785,2023-01-27,6.1,773
Halloween Ends,30.202,2022-10-12,6.101,1769
Happiness Never Comes Alone,14.287,2012-06-27,6.101,420
Faces in the Crowd,8.074,2011-10-25,6.1,482
The Lone Ranger,26.426,2013-07-03,6.1,5799
Final Destination 5,42.869,2011-08-12,6.101,3402
Earthquake,14.774,1974-11-15,6.1,321
The New Mutants,31.653,2020-04-02,6.1,3407
Ice Age: Collision Course,80.756,2016-06-23,6.1,4531
The Philadelphia Experiment,25.743,1984-10-05,6.1,380
Evita,11.738,1996-12-14,6.1,473
Cocktail,18.901,1988-07-29,6.1,1445
Wheelman,11.782,2017-10-20,6.099,624
Rip Tide,24.237,2017-10-03,6.098,451
The Cheetah Girls: One World,21.162,2008-08-22,6.1,325
The Tale of Despereaux,14.228,2008-12-18,6.1,912
Men,21.732,2022-05-20,6.1,1083
Like a Cat on a Highway 2,5.821,2021-08-14,6.091,335
The Unlikely Prince,4.815,2013-02-09,6.097,646
A Thousand Words,18.166,2012-03-07,6.097,1302
Grudge Match,15.919,2013-12-25,6.097,1271
Squared Love,12.033,2021-02-11,6.1,311
The SpongeBob Movie: Sponge Out of Water,42.237,2015-01-28,6.1,2344
Conan the Destroyer,27.229,1984-06-29,6.099,1474
Hollywoodland,12.027,2006-08-31,6.096,396
Wingwomen,23.505,2023-11-01,6.095,416
Argylle,49.534,2024-01-31,6.095,1318
Date Night,34.523,2010-04-08,6.1,2826
First Knight,25.754,1995-07-07,6.095,1195
Keeping the Faith,8.666,2000-04-14,6.095,609
Next,30.56,2007-04-25,6.095,2942
The Lovebirds,10.03,2020-05-22,6.1,688
Hounds of Love,14.214,2016-10-07,6.1,336
Keeping Up with the Joneses,14.329,2016-10-20,6.094,2001
Hereafter,20.89,2010-10-22,6.1,1645
Attack on Titan,36.12,2015-08-01,6.093,746
Didier,12.361,1997-01-29,6.093,592
Jumpin' Jack Flash,7.946,1986-10-09,6.1,350
About My Father,14.519,2023-05-25,6.088,301
Baywatch,87.661,2017-05-25,6.092,8020
A Walk in the Woods,10.76,2015-09-02,6.1,694
Sex and the City 2,33.986,2010-05-26,6.1,1618
Inferno,35.135,1999-09-25,6.1,311
Marked for Death,43.623,1990-10-05,6.1,520
Duplex,12.825,2003-09-26,6.092,1668
Harry and the Hendersons,11.649,1987-06-05,6.1,668
Cuban Fury,17.703,2014-02-14,6.1,316
Meet Bill,8.177,2007-09-07,6.09,316
What Happens in Vegas,20.427,2008-05-07,6.09,3036
American Gigolo,31.751,1980-02-01,6.1,619
3 Days to Kill,33.932,2014-02-14,6.089,2148
The Suite Life Movie,8.366,2011-03-25,6.1,508
Queen of the Damned,23.044,2002-02-10,6.089,1056
Daylight,18.632,1996-12-06,6.089,1514
Under Suspicion,16.883,2000-08-24,6.089,454
Scooby-Doo,39.399,2002-06-14,6.089,4422
Airplane II: The Sequel,18.233,1982-12-10,6.089,1089
Kiki: Love to Love,13.046,2016-04-01,6.1,360
Prom,9.545,2011-04-29,6.1,447
Valhalla Rising,20.177,2009-09-04,6.1,1183
Haunter,9.267,2013-10-17,6.1,554
Don't Tell Mom the Babysitter's Dead,10.556,1991-06-07,6.1,425
The Nutcracker and the Four Realms,43.958,2018-10-26,6.1,2128
After the Dark,13.364,2013-07-06,6.1,674
End of Days,22.294,1999-11-24,6.1,1840
Six Days Seven Nights,18.421,1998-06-12,6.085,1450
Lost Girls,15.694,2020-01-28,6.1,695
Dark Shadows,51.034,2012-05-09,6.084,7163
The Heir Apparent: Largo Winch,18.221,2008-12-17,6.084,526
Candy Cane Lane,47.164,2023-11-29,6.083,373
Galveston,24.564,2018-10-10,6.1,499
American Ultra,18.843,2015-08-19,6.085,2752
Devil,22.883,2010-09-16,6.083,2844
Ghost in the Shell,39.043,2017-03-29,6.082,7973
Love & Friendship,12.527,2016-05-26,6.082,536
Somewhere,8.997,2010-09-03,6.1,729
Going the Distance,11.865,2010-08-27,6.1,718
Village of the Damned,14.362,1995-04-28,6.082,813
Problem Child,32.943,1990-07-27,6.082,820
A Man Apart,25.798,2003-04-04,6.1,870
Restless,14.811,2022-02-25,6.1,376
Rememory,7.812,2017-09-08,6.1,430
Justice League,93.462,2017-11-15,6.08,12927
Journey to the Center of the Earth,31.121,2008-07-10,6.081,4786
So I Married an Axe Murderer,10.768,1993-07-30,6.1,420
Above the Law,29.836,1988-04-08,6.1,692
The Nest,13.205,2020-05-08,6.08,331
100% Wolf,13.615,2020-06-26,6.1,301
Overdrive,10.534,2017-06-16,6.08,937
Wyrmwood: Road of the Dead,25.746,2014-09-19,6.1,443
The Invitation,21.427,2022-08-24,6.1,820
Porno,25.228,2019-06-28,6.079,368
Dracula: Dead and Loving It,18.412,1995-12-22,6.08,969
Scooby-Doo 2: Monsters Unleashed,19.446,2004-03-24,6.079,2717
Kill Your Friends,8.401,2015-11-06,6.078,302
Nancy Drew,10.764,2007-06-15,6.1,509
Raising Cain,8.653,1992-08-07,6.1,346
The Return,11.691,2006-11-10,6.1,625
Wayne's World 2,10.959,1993-12-10,6.078,1040
Wall Street: Money Never Sleeps,22.65,2010-09-20,6.077,1510
Evolution,18.503,2001-06-08,6.077,2214
Dumped,6.648,2018-04-18,6.076,357
Teen Spirit,10.13,2019-04-12,6.1,321
God's Not Dead 2,23.411,2016-04-01,6.076,401
French Twist,29.372,1995-01-18,6.076,301
Inferno,36.421,2016-10-13,6.075,6213
The Gendarme and the Creatures from Outer Space,19.689,1979-01-31,6.075,601
Angel Eyes,11.389,2001-05-18,6.1,433
Bad Trip,12.336,2021-03-26,6.073,520
Crank: High Voltage,39.929,2009-04-16,6.073,2814
The Last Stand,29.271,2013-01-12,6.072,2766
Significant Other,12.827,2022-10-06,6.1,303
Relic,11.967,2020-07-03,6.1,729
Just Believe,5.459,2018-03-29,6.071,339
Cleaner,14.388,2007-09-11,6.07,816
Police Academy 2: Their First Assignment,27.831,1985-03-28,6.07,1537
Erased,32.059,2012-08-23,6.1,721
Burke & Hare,10.344,2010-10-29,6.1,458
The Golden Compass,38.121,2007-12-04,6.068,4513
Carriers,25.413,2009-09-04,6.067,1374
Stuart Little,41.811,1999-12-17,6.067,4359
Ricochet,13.105,1991-10-04,6.1,313
The Vanished,9.43,2020-08-21,6.1,318
In Darkness,12.272,2018-05-25,6.1,479
In the Electric Mist,12.439,2009-04-15,6.066,412
Bride of Chucky,51.042,1998-10-16,6.1,1914
Double Lover,27.247,2017-05-26,6.1,520
Keanu,14.663,2016-04-29,6.065,1044
The Last Days,10.999,2013-03-27,6.1,338
Murder at 1600,17.258,1997-04-18,6.1,523
Eraser,22.775,1996-06-21,6.065,1791
Mimic,15.855,1997-08-22,6.065,1095
Bedazzled,20.437,2000-10-19,6.065,1881
The Wolf of Snow Hollow,18.886,2020-10-23,6.1,419
Resident Evil: Afterlife,3.282,2010-09-09,6.064,3831
We're Back! A Dinosaur's Story,26.417,1993-11-24,6.1,414
Desperately Seeking Susan,11.034,1985-03-29,6.1,433
The Marvels,142.776,2023-11-08,6.063,2702
Hansel & Gretel: Witch Hunters,41.692,2013-01-17,6.063,6667
Terminator Salvation,37.462,2009-05-20,6.063,6443
Vivarium,41.495,2019-09-07,6.062,2124
Mister Happiness,5.871,2017-01-01,6.062,338
High Lane,22.006,2009-06-24,6.1,404
Yu-Gi-Oh! The Movie,20.334,2004-08-13,6.1,341
Freddy vs. Jason,52.535,2003-08-15,6.062,2571
Mike and Dave Need Wedding Dates,17.317,2016-07-07,6.1,2465
Sanctum,32.423,2011-02-03,6.061,1044
Alligator,14.936,1980-07-02,6.1,327
Good Burger,13.92,1997-07-25,6.1,510
Home on the Range,38.488,2004-04-02,6.061,2023
Tequila Sunrise,13.004,1988-12-02,6.1,502
The Pacifier,41.587,2005-03-04,6.1,3027
Ali G Indahouse,16.594,2002-03-21,6.1,1358
He Even Has Your Eyes,7.715,2017-01-18,6.1,501
The 355,24.633,2022-01-05,6.059,1002
Kristy,7.521,2014-08-07,6.059,407
The Waterboy,28.851,1998-11-06,6.059,1802
Two for the Money,14.305,2005-10-07,6.1,631
Cat People,16.395,1982-04-02,6.1,505
Final Score,15.331,2018-09-07,6.058,516
The Monuments Men,11.913,2014-01-24,6.058,3572
Cyberbully,8.39,2011-11-10,6.1,465
Imaginary,57.304,2024-03-06,6.1,502
The Paramedic,10.256,2020-09-16,6.1,626
Newness,14.753,2017-11-03,6.054,593
Harlem Nights,12.134,1989-11-17,6.057,306
Amsterdam,22.037,2022-09-27,6.056,1496
How I Became a Superhero,33.733,2020-11-19,6.056,499
Return,7.179,1985-10-31,6.056,2020
Red State,11.357,2011-08-19,6.1,930
The Crazies,13.194,1973-03-16,6.056,359
The Story of Us,13.393,1999-10-14,6.1,314
Alien Nation,15.88,1988-10-07,6.1,301
Fast Food Nation,6.304,2006-11-17,6.1,356
Crimes of the Future,13.906,2022-05-25,6.051,1082
The Wretched,9.54,2020-03-09,6.1,616
Fist Fight,34.128,2017-02-16,6.1,1229
Transformers: The Last Knight,110.057,2017-06-16,6.055,6178
The Bronze,9.219,2016-01-22,6.055,365
Starry Eyes,8.195,2014-07-29,6.1,440
The Brats,10.054,2013-04-17,6.054,532
Never Say Never Again,53.396,1983-10-07,6.054,1436
Spoiled Brats,12.656,2021-09-15,6.053,541
Tarzan II,19.089,2005-06-13,6.1,1131
The Shadow,13.237,1994-07-01,6.1,519
The F**k-It List,8.159,2020-07-01,6.052,484
Blessed Madness,5.222,2018-01-11,6.1,381
Into the Storm,30.969,2014-08-06,6.052,2021
Maniac,11.311,2012-12-26,6.052,923
Primeval,14.174,2007-01-12,6.049,399
Gerry,20.758,2002-09-20,6.1,300
Ned Kelly,21.379,2003-03-22,6.1,355
Krull,11.445,1983-07-29,6.051,544
The Intruder,14.798,2019-05-03,6.0,571
Parallels,6.143,2015-03-01,6.05,357
Love and Honor,9.157,2013-03-22,6.05,347
Berberian Sound Studio,8.211,2012-08-30,6.05,349
Ilsa: She Wolf of the SS,10.734,1975-10-01,6.05,350
I Now Pronounce You Chuck & Larry,56.447,2007-07-12,6.05,2308
The Chronicles of Riddick: Dark Fury,4.739,2004-06-15,6.0,310
Interceptor,16.418,2022-05-26,6.049,726
The Den,8.024,2013-12-12,6.049,336
The Children,6.598,2008-12-05,6.0,375
Whatsoeverly,7.697,2011-01-21,6.0,526
April Fool's Day,6.113,1986-03-27,6.0,330
Muppets from Space,10.971,1999-07-14,6.0,324
Broken Arrow,18.412,1996-02-09,6.0,1491
The Peacemaker,13.547,1997-09-26,6.048,989
Cocaine Bear,57.676,2023-02-22,6.047,2031
End of the Road,9.605,2022-09-09,6.047,316
6 Souls,9.336,2010-03-27,6.0,697
The Possession,18.343,2012-08-30,6.0,1576
Dorian Gray,23.633,2009-09-09,6.0,2113
Vegas Vacation,18.456,1997-02-13,6.0,631
The Final Cut,9.118,2004-10-15,6.0,693
Wasp Network,32.299,2020-01-29,6.0,374
Suck Me Shakespeer 3,20.559,2017-10-26,6.045,435
Nightwatch,12.408,1997-01-31,6.045,393
Love in the Villa,9.873,2022-09-01,6.0,356
Parker,29.434,2013-01-23,6.044,3019
Fantozzi to the Rescue,8.604,1990-12-21,6.044,344
Carrie,16.52,2002-11-04,6.0,486
The Weekend Away,14.771,2022-03-03,6.0,681
The Cheetah Girls,13.177,2003-08-15,6.0,467
Little Nicholas,9.314,2009-09-30,6.043,1108
Tin Cup,17.963,1996-08-16,6.0,514
Incredible but True,7.878,2022-06-15,6.0,373
The Night Eats the World,23.195,2018-03-07,6.0,690
A Million Ways to Die in the West,61.991,2014-05-22,6.042,4058
All Good Things,13.978,2010-12-03,6.0,905
Jingle All the Way,94.745,1996-11-21,6.0,2612
The Sentinel,15.935,2006-04-19,6.0,766
The Trouble with You,6.972,2018-10-06,6.041,453
Hotel Artemis,11.567,2018-06-07,6.043,1532
The Woman,19.081,2011-10-14,6.041,524
Spooks: The Greater Good,18.624,2015-04-11,6.04,565
Willy's Wonderland,26.974,2021-02-12,6.039,980
Polaroid,14.598,2019-01-10,6.039,1038
Transcendence,24.811,2014-04-16,6.0,5363
Beach Rats,12.024,2017-08-25,6.0,522
Standoff,19.562,2016-02-26,6.038,318
Halloween H20: 20 Years Later,23.807,1998-08-05,6.039,1632
The Distinguished Gentleman,9.143,1992-12-04,6.0,302
Our Kind of Traitor,24.107,2016-05-05,6.037,541
Candyman,19.083,2021-08-25,6.0,1558
The Rewrite,27.689,2014-06-15,6.0,590
Carrie,31.597,2013-10-16,6.0,4442
Hypnotic,11.469,2021-10-27,6.035,610
Wonderstruck,13.884,2017-10-13,6.0,398
Percy Jackson: Sea of Monsters,17.775,2013-08-07,6.035,5107
Black Death,10.738,2010-06-07,6.035,855
Hot Tub Time Machine,19.087,2010-03-26,6.036,2457
The Deep House,20.172,2021-06-30,6.036,981
Anna and the Apocalypse,49.883,2018-11-30,6.033,374
And So It Goes,10.465,2014-07-17,6.035,452
Jennifer Eight,14.647,1992-11-06,6.034,352
Lions for Lambs,29.823,2007-10-22,6.0,746
The Rocker,12.733,2008-08-20,6.0,581
I Saw the TV Glow,87.786,2024-05-03,6.0,327
Despite Everything,8.111,2019-03-16,6.0,420
Full Speed,16.538,2016-11-11,6.0,638
Teenage Mutant Ninja Turtles: Out of the Shadows,55.572,2016-06-01,6.032,3497
War of the Buttons,5.105,2011-09-14,6.032,409
Sleepwalkers,14.319,1992-04-10,6.0,537
The Out-Laws,24.739,2023-07-07,6.031,695
Tracers,43.392,2015-01-15,6.0,1071
Beautiful Creatures,14.73,2013-02-13,6.033,2825
Womb,12.615,2010-07-15,6.0,353
Persuasion,11.34,2022-07-01,6.0,583
Replicas,35.049,2018-10-25,6.031,1354
About Last Night,11.727,2014-02-14,6.03,498
101 Dalmatians II: Patch's London Adventure,18.595,2003-03-02,6.0,1162
Sleepover,13.622,2004-07-09,6.0,479
National Lampoon's Van Wilder,26.693,2002-03-29,6.0,1777
Shark Tale,67.343,2004-09-20,6.029,6315
The Wizard,12.41,1989-12-15,6.0,308
Irresistible,10.503,2020-07-01,6.0,432
The Great Wall,45.879,2016-12-16,6.028,5107
Franklyn,6.358,2008-10-16,6.028,353
2:22,16.344,2017-06-29,6.0,1443
Killing Them Softly,17.895,2012-07-30,6.027,2169
Hotel for Dogs,13.974,2009-01-16,6.027,858
Alvin and the Chipmunks: The Road Chip,30.488,2015-12-17,6.0,1625
Color Out of Space,34.423,2019-09-07,6.025,1461
Point Blank,9.654,2019-07-12,6.025,535
The Silence,15.154,2019-05-16,6.025,1550
Life,9.227,2015-09-09,6.025,344
Get Hard,19.726,2015-03-26,6.025,2687
The Gang of Santa Clauses,8.107,2010-12-17,6.025,1039
Fortress,18.689,1992-12-18,6.0,640
The Adventures of Buckaroo Banzai Across the 8th Dimension,15.015,1984-08-10,6.0,421
Money Talks,12.159,1997-08-22,6.025,380
Bee Movie,47.292,2007-10-28,6.025,4839
The Warning,7.436,2018-03-10,6.0,368
Topaz,10.707,1969-12-17,6.0,376
Mississippi Grind,8.732,2015-07-04,6.0,503
I.Q.,10.145,1994-12-24,6.023,452
Firefox,28.249,1982-06-18,6.0,550
Immortals,40.408,2011-11-10,6.0,2568
Below,18.137,2002-08-11,6.0,434
Orange County,10.617,2002-01-11,6.0,447
The Tailor of Panama,15.15,2001-03-30,6.0,480
Bandidas,36.554,2006-01-18,6.0,1080
Diabolik,10.616,2021-12-16,6.02,579
Birth,32.581,2004-10-29,6.0,655
The Scarlet Letter,18.023,1995-10-13,6.02,449
The Gate,8.299,1987-04-21,6.0,375
1BR,10.209,2019-07-18,6.0,450
Lovelace,20.127,2013-08-08,6.019,685
Yamakasi,23.845,2001-04-04,6.0,546
The Woman in the Window,13.948,2021-05-13,6.018,1941
Circle,11.291,2015-05-28,6.018,1953
Solomon Kane,23.386,2009-09-16,6.0,1381
Black Sheep,8.252,1996-02-01,6.018,394
Twins,23.716,1988-12-09,6.018,2244
In Good Company,21.878,2004-12-29,6.0,611
We Can Be Heroes,46.438,2020-12-25,6.017,767
Along Came Polly,21.631,2004-01-16,6.017,2814
6 Days,26.425,2017-07-09,6.016,683
Billy Lynn's Long Halftime Walk,20.968,2016-11-10,6.016,560
Mechanic: Resurrection,74.407,2016-08-25,6.017,3347
Case départ,9.502,2011-07-06,6.016,492
The Visitors II: The Corridors of Time,13.558,1998-02-11,6.016,976
Gabriel,10.197,2007-11-15,6.0,399
Antitrust,12.707,2001-01-11,6.016,511
Day of the Woman,22.668,1978-11-02,6.0,625
Jack Frost,40.161,1998-11-15,6.0,1134
Shaft,20.207,2000-06-15,6.015,1263
Mindcage,17.201,2022-12-16,6.0,320
Dangerous,30.587,2021-11-05,6.0,449
God's Not Dead,16.009,2014-03-21,6.0,890
The Fifth Estate,9.233,2013-10-11,6.0,992
Total Recall,50.169,2012-08-02,6.014,5436
Tin & Tina,18.742,2023-03-24,6.013,391
A Castle for Christmas,13.072,2021-11-26,6.013,314
Silent Night,27.335,2021-12-03,6.0,473
Up for Love,28.914,2016-05-04,6.013,833
The Fox and the Hound 2,24.352,2006-11-09,6.0,652
National Lampoon's Loaded Weapon 1,11.41,1993-02-04,6.013,706
The Net,20.302,1995-07-28,6.0,1341
The Gendarme and the Gendarmettes,16.437,1982-10-03,6.012,540
My Life Without Me,18.502,2003-03-07,6.0,461
Don Jon,31.582,2013-09-12,6.011,4264
Stand Up Guys,18.144,2012-12-14,6.011,923
Neuilly Yo Mama!,7.326,2009-08-12,6.011,922
RoboCop 2,28.316,1990-06-22,6.011,1877
The Invasion,26.357,2007-08-17,6.0,1503
Aniara,11.466,2019-05-17,6.01,337
Tragedy Girls,8.781,2017-10-20,6.0,310
5 Flights Up,15.835,2014-05-10,6.01,306
Vertical Limit,26.066,2000-12-08,6.0,1019
Indiana Jones and the Kingdom of the Crystal Skull,79.565,2008-05-21,6.01,8269
The Signal,15.468,2014-03-15,6.0,1664
Leaves of Grass,9.41,2009-09-13,6.0,411
Jimmy Neutron: Boy Genius,20.934,2001-12-14,6.0,909
The Accidental Spy,7.146,2001-01-18,6.0,455
The Human Stain,10.785,2003-10-29,6.0,450
Werewolves Within,24.787,2021-06-25,6.0,528
Paranormal Activity,37.682,2007-09-14,6.008,5001
How to Talk to Girls at Parties,15.759,2017-10-06,6.0,384
How to Lose Friends & Alienate People,14.056,2008-10-02,6.007,756
The Last Summer,17.693,2019-05-03,6.0,1366
Kidnapping Mr. Heineken,7.069,2015-03-12,6.0,623
Sharpay's Fabulous Adventure,14.857,2011-04-19,6.0,542
The Truth About Cats & Dogs,7.883,1996-04-26,6.0,312
Spanglish,16.946,2004-12-17,6.006,1272
The Gambler,52.604,2014-12-25,6.005,1400
The Tuche Family,12.001,2011-06-30,6.007,1270
A Turtle's Tale: Sammy's Adventures,15.257,2010-08-04,6.0,636
Blind Date,12.107,1987-03-27,6.0,479
Desperados,8.463,2020-07-01,6.004,476
All the Old Knives,27.472,2022-04-08,6.004,533
Saw 3D,37.975,2010-10-22,6.0,3015
The Laundromat,13.404,2019-09-27,6.004,1199
The Tall Man,10.901,2012-03-19,6.003,1135
What to Expect When You're Expecting,27.47,2012-05-17,6.003,1775
Lonely Hearts,8.782,2006-04-30,6.0,338
Berlin Syndrome,33.076,2017-04-20,6.0,627
Timecop,21.757,1994-09-15,6.002,1152
Eli,10.599,2019-10-18,6.0,1396
The Birth of a Nation,11.875,1915-02-08,6.001,526
Poor but Rich,7.512,2016-12-15,6.0,412
Mad Dog and Glory,8.199,1993-03-05,6.0,360
Morbius,42.482,2022-03-30,5.998,4308
You Should Have Left,33.552,2020-06-18,6.0,774
A Very Harold & Kumar Christmas,25.49,2011-11-04,5.999,947
Miami Vice,20.009,2006-07-27,6.001,1765
Under Paris,133.705,2024-06-04,5.998,1184
The Offering,17.019,2022-09-23,5.998,324
The First Purge,49.554,2018-07-04,5.998,3974
The Love Punch,16.12,2014-01-13,5.998,427
The Big Year,11.034,2011-10-13,5.998,796
Celebrity,10.165,1998-09-07,5.998,466
Grace of Monaco,21.154,2014-04-22,5.997,584
The Stuff,20.486,1985-06-14,5.997,460
The Twilight Saga: New Moon,73.125,2009-11-18,5.997,9167
House of Wax,38.566,2005-05-05,6.0,3007
The Last Kiss,11.01,2006-09-10,5.997,366
Jaws 2,20.358,1978-06-16,6.0,1890
Carter,45.632,2022-08-05,6.0,370
The Babysitters,20.763,2008-05-09,5.996,486
Flight of the Phoenix,17.738,2004-12-17,6.0,855
Asterix & Obelix Take on Caesar,18.472,1999-02-03,5.995,1874
Frozen,22.816,2010-02-05,6.0,1813
Caligula,38.479,1979-08-14,6.0,843
The Takedown,25.654,2022-05-06,5.993,473
Adult World,10.627,2014-02-14,6.0,367
Breaking In,10.694,2018-05-05,6.0,657
The Arrival,32.645,1996-05-31,6.0,729
Medicine Man,9.179,1992-02-07,5.992,376
The Black Demon,31.747,2023-04-26,5.991,631
Gretel & Hansel,23.077,2020-01-30,6.0,1416
A Boss in the Living Room,5.49,2014-01-01,5.991,522
Nurse Betty,10.431,2000-08-30,5.991,390
Guarding Tess,16.31,1994-03-11,5.991,321
Austin Powers in Goldmember,25.307,2002-07-26,5.991,3098
The Desperate Hour,17.32,2021-09-12,5.99,430
The Void,23.489,2016-09-22,6.0,1246
Jack Reacher: Never Go Back,98.714,2016-10-19,5.991,4855
The Seventh Sign,8.81,1988-04-01,5.99,341
Ken Park,23.505,2003-01-30,6.0,594
Mother's Day,27.814,2016-04-28,5.989,1261
My Big Fat Greek Wedding 2,14.047,2016-03-23,5.989,995
While We're Young,8.546,2015-04-03,5.989,1100
Scream 3,34.916,2000-02-04,5.989,3586
Casper Meets Wendy,22.687,1998-09-10,6.0,386
Guess Who,24.503,2005-03-25,6.0,901
Beyond Re-Animator,10.184,2003-04-04,6.0,350
Boys and Girls,19.522,2000-06-16,5.987,390
Diabolik - Ginko Attacks,11.644,2022-11-17,5.986,460
I'm Still Here,11.829,2010-09-10,6.0,369
Bringing Down the House,18.038,2003-03-07,5.986,692
The 6th Day,15.368,2000-11-17,6.0,2010
Dual,12.871,2022-03-18,6.0,308
Snow White and the Huntsman,45.263,2012-05-30,6.0,7845
Another 48 Hrs.,13.169,1990-06-08,5.985,863
Lord of Illusions,8.98,1995-08-25,6.0,326
Mission to Mars,21.375,2000-03-10,5.984,1414
Certain Women,11.257,2016-09-25,6.0,341
A Fantastic Coming and Going,5.72,2013-12-12,6.0,314
Die Another Day,67.654,2002-11-17,5.984,3496
Georgia Rule,9.511,2007-05-10,6.0,428
The Cable Guy,16.368,1996-06-10,5.984,2393
The Borrowers,16.046,1997-12-05,5.984,478
65,46.781,2023-03-02,5.982,2378
XOXO,22.281,2016-08-26,6.0,586
Blonde,27.879,2022-09-16,5.982,1346
Dead Snow,13.539,2009-01-09,6.0,1105
The Dark Half,9.852,1993-04-23,6.0,406
The Fan,10.163,1996-08-15,5.983,787
Friends with Kids,9.597,2012-03-09,5.982,462
Red Riding Hood,28.36,2011-03-10,5.982,3133
Get Him to the Greek,13.629,2010-06-03,6.0,1747
The Valet,17.086,2006-03-29,5.98,517
Tarzan & Jane,45.643,2002-06-24,6.0,619
Wrong Turn,98.638,2021-01-26,5.981,1138
Dark Phoenix,49.312,2019-06-05,5.981,6510
Wishmaster,50.162,1997-09-19,5.988,583
PG: Psycho Goreman,12.889,2020-10-29,5.98,351
Wilson,20.471,2017-03-24,5.98,353
Good Kill,8.674,2015-04-09,6.0,540
Hard to Kill,15.868,1990-02-09,6.0,595
Love the Coopers,33.904,2015-11-12,5.98,772
I'll Be Home for Christmas,16.724,1998-11-13,5.979,319
Someone Like You...,10.186,2001-03-30,6.0,379
The Relic,10.944,1997-01-10,6.0,524
Meander,7.534,2021-07-01,5.978,409
Triple 9,20.115,2016-02-19,5.978,2116
Ong Bak 3,13.985,2010-05-05,6.0,428
"Little Indian, Big City",9.178,1994-12-14,5.978,579
Between Two Ferns: The Movie,12.818,2019-09-20,6.0,861
Larry Crowne,17.031,2011-06-30,5.976,1296
Fatale,52.14,2020-12-18,6.0,336
Love Is in the Air,8.039,2013-04-02,5.975,406
Paranormal Activity: Tokyo Night,14.529,2010-11-20,5.975,427
Take Me Home Tonight,16.068,2011-03-04,6.0,664
The Key,104.223,1983-10-19,5.975,394
The Men Who Stare at Goats,14.087,2009-10-17,5.975,2193
Scary Movie 3,52.65,2003-10-24,5.975,4060
The Last House on the Left,13.561,1972-08-30,5.974,681
Goal II: Living the Dream,12.704,2007-02-09,6.0,650
Sudden Death,15.089,1995-10-27,5.974,714
Deep Blue Sea,28.089,1999-07-28,5.974,2407
London,9.926,2005-09-03,6.0,307
Captain Corelli's Mandolin,12.633,2001-04-18,6.0,519
Would You Rather,10.252,2013-02-08,6.0,917
Deuce Bigalow: Male Gigolo,54.116,1999-12-10,5.973,1391
Role Play,30.356,2023-12-14,5.972,526
The Last Witch Hunter,79.542,2015-10-21,6.0,3578
Crush,13.417,2013-03-13,6.0,344
Extreme Measures,7.334,1996-09-27,5.972,317
Batman v Superman: Dawn of Justice,101.784,2016-03-23,5.971,17932
Out of the Blue,6.27,2013-03-14,6.0,313
Poltergeist II: The Other Side,13.318,1986-05-23,5.971,675
An American Werewolf in Paris,14.04,1997-05-29,6.0,674
Stowaway,14.078,2021-06-24,5.966,519
The Overnight,8.637,2015-06-19,6.0,329
I Love You in Every Language in the World,17.832,2005-12-16,6.0,480
Emmanuelle,23.871,1974-06-25,6.0,759
